time/iterations,train/learning_rate,train/reward,train/std,train/n_updates,train/policy_loss,time/fps,time/total_timesteps,train/value_loss,train/explained_variance,time/time_elapsed,train/entropy_loss
7000,0.0007,0.17933089,1.0344809293746948,6999,105.93705749511719,103,35000,6.55825662612915,1.1920928955078125e-07,338,-45.007606506347656
7100,0.0007,2.2684615,1.036360263824463,7099,132.45924377441406,103,35500,12.558438301086426,-0.000735163688659668,343,-45.06127166748047
7200,0.0007,3.101265,1.0360863208770752,7199,-507.01318359375,103,36000,110.71795654296875,0.0,348,-45.06231689453125
7300,0.0007,1.396239,1.0355124473571777,7299,-342.2213439941406,103,36500,95.00740051269531,-0.00042939186096191406,353,-45.03621292114258
7400,0.0007,-6.8307776,1.0349498987197876,7399,-53.6522102355957,103,37000,5.364082336425781,0.0,357,-45.0240478515625
7500,0.0007,-17.775003,1.0341655015945435,7499,438.396240234375,103,37500,122.89192962646484,-1.1920928955078125e-07,362,-45.0017204284668
7600,0.0007,3.3009834,1.034825086593628,7599,-263.8297424316406,103,38000,34.38530349731445,-0.0005881786346435547,367,-45.01879119873047
7700,0.0007,1.2927325,1.036342740058899,7699,-163.65171813964844,103,38500,14.697561264038086,0.0,372,-45.067604064941406
7800,0.0007,-0.6790626,1.0405404567718506,7799,-146.33786010742188,103,39000,14.35876178741455,0.0,377,-45.180965423583984
7900,0.0007,7.234862,1.0393747091293335,7899,325.6050720214844,103,39500,120.6050033569336,-1.1920928955078125e-07,382,-45.152862548828125
8000,0.0007,-3.4770968,1.0388219356536865,7999,-28.203083038330078,103,40000,3.495161771774292,5.960464477539063e-08,387,-45.12546920776367
8100,0.0007,5.6925383,1.0402650833129883,8099,-490.29498291015625,103,40500,136.67721557617188,0.0,391,-45.174217224121094
8200,0.0007,-0.26822245,1.0391260385513306,8199,-67.10765075683594,103,41000,3.36067533493042,-1.1920928955078125e-07,396,-45.134979248046875
8300,0.0007,-2.9368982,1.0410767793655396,8299,116.20600891113281,103,41500,8.283064842224121,0.0,400,-45.20026779174805
8400,0.0007,-4.8520184,1.0429404973983765,8399,132.48959350585938,103,42000,9.473886489868164,0.0,404,-45.24787521362305
8500,0.0007,0.61932534,1.0436596870422363,8499,-63.16035079956055,103,42500,4.3594512939453125,0.0,409,-45.28015899658203
8600,0.0007,-19.855011,1.0437238216400146,8599,406.60369873046875,103,43000,97.04645538330078,0.0,413,-45.27078628540039
8700,0.0007,1.1920787,1.0444289445877075,8699,4.005718231201172,104,43500,2.037118434906006,0.0,418,-45.294349670410156
8800,0.0007,0.958626,1.04298996925354,8799,-21.624271392822266,104,44000,1.2485653162002563,-1.1920928955078125e-07,422,-45.24928283691406
8900,0.0007,0.6998471,1.0419174432754517,8899,147.31060791015625,104,44500,13.295377731323242,0.0,426,-45.218421936035156
9000,0.0007,-0.45098382,1.0450806617736816,8999,73.80233001708984,104,45000,5.885128974914551,-1.1920928955078125e-07,431,-45.311553955078125
9100,0.0007,2.8439462,1.0446828603744507,9099,-126.24906921386719,104,45500,8.961519241333008,0.0,435,-45.302642822265625
9200,0.0007,2.6613493,1.0479798316955566,9199,168.5402374267578,104,46000,16.373493194580078,0.0,439,-45.397186279296875
9300,0.0007,0.48035294,1.0487051010131836,9299,-181.3353729248047,104,46500,18.865283966064453,0.0,444,-45.419124603271484
9400,0.0007,0.1562753,1.05161452293396,9399,288.3973083496094,104,47000,40.90814971923828,1.1920928955078125e-07,448,-45.50022506713867
9500,0.0007,3.481824,1.052253246307373,9499,286.81768798828125,104,47500,53.81010055541992,0.0,453,-45.52281188964844
9600,0.0007,-0.7274595,1.0509506464004517,9599,-202.5006103515625,104,48000,21.844423294067383,0.0,457,-45.48488998413086
9700,0.0007,-2.4196687,1.050330638885498,9699,18.974973678588867,105,48500,0.9402002096176147,0.0,461,-45.46379852294922
9800,0.0007,6.0180717,1.0523275136947632,9799,-114.40653991699219,105,49000,94.59251403808594,0.0,466,-45.52461624145508
9900,0.0007,1.0511055,1.0521162748336792,9899,108.6676025390625,105,49500,5.462612152099609,0.0,470,-45.51671600341797
10000,0.0007,1.0821826,1.0525914430618286,9999,83.90150451660156,103,50000,6.070096492767334,0.0,481,-45.53759765625
