time/fps,time/time_elapsed,train/reward,time/total_timesteps,time/iterations,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/std,train/clip_range,train/clip_fraction
141,433,0.27812022,61440,30,0.026779631,0.00025,290,-42.381323313713075,45.07296243906021,31.189594268798828,-0.015056286926846952,0.02160400152206421,1.0445826053619385,0.2,0.249609375
141,448,-0.24215856,63488,31,0.020667255,0.00025,300,-42.418745470047,32.296629363298415,19.390090942382812,-0.00864430629007984,0.03761810064315796,1.0453521013259888,0.2,0.17041015625
141,463,0.41450673,65536,32,0.021364845,0.00025,310,-42.4475821018219,23.762167710065842,8.808218955993652,-0.011061531119048595,-0.011386513710021973,1.0466628074645996,0.2,0.238037109375
141,479,-0.2642464,67584,33,0.026943194,0.00025,320,-42.47219631671906,47.704052329063416,8.915451049804688,-0.015423728845780716,0.013315379619598389,1.0476148128509521,0.2,0.21376953125
141,493,0.76585555,69632,34,0.017194103,0.00025,330,-42.49324622154236,90.22870284318924,51.80564880371094,-0.013095234214415542,0.007529556751251221,1.0480382442474365,0.2,0.153466796875
141,507,-2.8520076,71680,35,0.03138289,0.00025,340,-42.5162606716156,118.0113631248474,61.19982147216797,-0.006752730066364165,0.0036596059799194336,1.049399971961975,0.2,0.243896484375
141,522,-4.6316266,73728,36,0.028581958,0.00025,350,-42.55899953842163,32.67992107868194,13.799826622009277,-0.011063373120850883,0.058808982372283936,1.050550103187561,0.2,0.28056640625
141,536,-0.20149606,75776,37,0.02299316,0.00025,360,-42.604657125473025,63.164962637424466,32.46821212768555,-0.005739481095224619,0.03334832191467285,1.0532374382019043,0.2,0.230029296875
141,551,-3.9607933,77824,38,0.033208136,0.00025,370,-42.651636075973514,38.65165897607803,13.790650367736816,-0.003336830846092198,0.06370341777801514,1.0549626350402832,0.2,0.356884765625
141,565,-2.120433,79872,39,0.020455536,0.00025,380,-42.74631164073944,19.59279380440712,12.140089988708496,-0.008958566343062557,0.006999850273132324,1.058583378791809,0.2,0.292236328125
140,581,-1.102654,81920,40,0.025053613,0.00025,390,-42.8171745300293,31.07533993124962,13.310816764831543,-0.01406294567277655,0.042194366455078125,1.060030221939087,0.2,0.277880859375
140,597,0.47788253,83968,41,0.02367073,0.00025,400,-42.844466018676755,36.51598111391068,15.295953750610352,-0.013954323885263875,0.047630369663238525,1.0610802173614502,0.2,0.233203125
140,612,1.4555403,86016,42,0.02218714,0.00025,410,-42.876355934143064,90.83893175125122,31.959505081176758,-0.009854248593910597,0.0015091896057128906,1.062361240386963,0.2,0.259765625
140,627,-1.1650726,88064,43,0.028094446,0.00025,420,-42.923240995407106,35.8488565325737,14.07453727722168,-0.011959687281341757,0.05866265296936035,1.0646544694900513,0.2,0.282421875
140,641,0.13227405,90112,44,0.030627443,0.00025,430,-42.9727915763855,97.16077167987824,27.179494857788086,-0.016950565262231976,0.06044119596481323,1.0658040046691895,0.2,0.234423828125
140,656,-2.5392632,92160,45,0.03232822,0.00025,440,-43.005621337890624,89.08455173969269,26.14242172241211,-0.003255042056844104,0.005568385124206543,1.0677589178085327,0.2,0.3421875
140,671,-5.588084,94208,46,0.02527543,0.00025,450,-43.06546683311463,33.910172688961026,12.66157341003418,-0.008061160761280916,0.03821760416030884,1.0697613954544067,0.2,0.288330078125
140,685,1.7874022,96256,47,0.016343204,0.00025,460,-43.11704235076904,115.8531655550003,60.79129409790039,-0.010611788532696665,0.06123548746109009,1.0715841054916382,0.2,0.16826171875
